name,tracking_id,ver5
MpMYB02,Mapoly0006s0226.1,Mp3g07510.1
MpMYB14,Mapoly0073s0038.1,Mp5g19050.1
DAHPS,Mapoly0008s0188.1,Mp8g10340.1
DHQS,Mapoly0031s0094.1,Mp2g04380.1
DHQD,Mapoly0047s0090.1,Mp6g14360.1
SK,Mapoly0035s0139.1,Mp6g03600.1
SK,Mapoly0089s0033.1,Mp3g21830.1
ESPS,Mapoly0034s0104.1,Mp6g04140.1
PAS2,Mapoly0034s0103.1,Mp6g04150.1
PAS2,Mapoly0010s0013.1,Mp5g24450.1
CS,Mapoly0007s0052.1,Mp3g00560.1
CM,Mapoly0028s0048.1,Mp2g01030.1
PAT,Mapoly0058s0104.1,Mp5g21220.1
ADT,Mapoly0024s0086.1,Mp3g23090.1
ADT,Mapoly0024s0087.1,Mp3g23100.1
ADT,Mapoly0071s0057.1,Mp5g15520.1
ADT,Mapoly0204s0012.1,Mp8g09370.1
C3'H,Mapoly0037s0087.1,Mp3g11100.1
PAL,Mapoly0005s0086.1,Mp1g05220.1
PAL,Mapoly0005s0089.1,Mp1g05190.1
PAL,Mapoly0009s0173.1,Mp7g14880.1
PAL,Mapoly0014s0211.1,Mp1g10150.1
PAL,Mapoly0044s0114.1,Mp4g03590.1
PAL,Mapoly0070s0061.1,Mp4g14210.1
PAL,Mapoly0070s0065.1,Mp4g14170.1
PAL,Mapoly0070s0068.1,Mp4g14140.1
PAL,Mapoly0070s0071.1,Mp4g14110.1
PAL,Mapoly0132s0049.1,Mp4g10060.1
C4H,Mapoly0081s0008.1,Mp8g05070.1
C4H,Mapoly0081s0009.1,Mp8g05080.1
C4H,Mapoly0163s0018.1,Mp6g00020.1
4CL,Mapoly0002s0100.1,Mp1g27780.1
4CL,Mapoly0005s0102.1,Mp1g05060.1
4CL,Mapoly0197s0014.1,Mp5g01200.1
CHS,Mapoly0009s0174.1,Mp7g14890.1
CHS,Mapoly0009s0178.1,Mp7g14930.1
CHS,Mapoly0009s0179.1,Mp7g14940.1
CHS,Mapoly0009s0180.1,Mp7g14960.1
CHS,Mapoly0014s0122.1,Mp1g11030.1
CHS,Mapoly0020s0082.1,Mp4g23190.1
CHS,Mapoly0021s0159.1,Mp2g07060.1
CHS,Mapoly0040s0121.1,Mp2g20910.1
CHS,Mapoly0041s0118.1,Mp4g18370.1
CHS,Mapoly0044s0115.1,Mp4g03580.1
CHS,Mapoly0055s0104.1,Mp2g19480.1
CHS,Mapoly0070s0036.1,Mp4g14450.1
CHS,Mapoly0070s0060.1,Mp4g14220.1
CHS,Mapoly0070s0062.1,Mp4g14200.1
CHS,Mapoly0070s0063.1,Mp4g14190.1
CHS,Mapoly0070s0064.1,Mp4g14180.1
CHS,Mapoly0070s0067.1,Mp4g14150.1
CHS,Mapoly0070s0070.1,Mp4g14120.1
CHS,Mapoly0070s0072.1,Mp4g14100.1
CHS,Mapoly0072s0054.1,Mp2g22780.1
CHS,Mapoly0072s0061.1,Mp2g22700.1
CHS,Mapoly0072s0062.1,Mp2g22690.1
CHS,Mapoly0087s0058.1,Mp4g05310.1
CHS,Mapoly0858s0001.1,Mp8g18680.1
KCS,Mapoly0005s0001.1,Mp1g06080.1
KCS,Mapoly0055s0025.1,Mp2g20240.1
KCS,Mapoly0055s0027.1,Mp2g20220.1
CHI,Mapoly0167s0012.1,Mp6g05290.1
CHI-L,Mapoly0175s0004.1,Mp5g01410.1
PPO,Mapoly0021s0041.1,Mp2g05850.1
MpPPO1,Mapoly0001s0379.1,Mp1g20430.1
MpPPO2,Mapoly0021s0034.1,Mp2g05780.1
MpPPO3,Mapoly0021s0035.1,Mp2g05790.1
MpPPO4,Mapoly0021s0037.1,Mp2g05810.1
MpPPO5,Mapoly0021s0041.1,Mp2g05850.1
MpPPO6,Mapoly0024s0005.1,Mp3g22270.1
MpPPO7,Mapoly0024s0006.1,Mp3g22280.1
MpPPO8,Mapoly0032s0136.1,Mp5g14430.1
MpPPO9,Mapoly0032s0137.1,Mp5g14440.1
MpPPO10,Mapoly0038s0001.1,Mp6g17930.1
MpPPO11,Mapoly0038s0002.1,Mp6g17920.1
MpPPO12,Mapoly0038s0003.1,-
MpPPO13,Mapoly0038s0004.1,-
MpPPO14,Mapoly0038s0112.1,Mp6g19030.1
MpPPO15,Mapoly0040s0078.1,Mp2g21360.1
MpPPO16,Mapoly0071s0077.1,-
MpPPO17,Mapoly0071s0078.1,Mp5g15320.1
MpPPO18,Mapoly0073s0001.1,-
MpPPO19,Mapoly0074s0082.1,Mp7g03140.1
MpPPO20,Mapoly0080s0086.1,Mp4g02130.1
MpPPO21,Mapoly0084s0022.1,Mp5g17720.1
MpPPO22,Mapoly0084s0086.1,Mp5g18380.1
MpPPO23,Mapoly0091s0043.1,Mp6g21120.1
MpPPO24,Mapoly0094s0040.1,Mp2g17720.1
MpPPO25,Mapoly0097s0009.1,-
MpPPO26,Mapoly0106s0029.1,Mp5g21700.1
MpPPO27,Mapoly0109s0017.1,Mp2g16760.1
MpPPO28,Mapoly0117s0055.1,Mp5g16490.1
MpPPO29,Mapoly0117s0058.1,Mp5g16500.1
MpPPO30,Mapoly0121s0016.1,Mp3g24080.1
MpPPO30,Mapoly0121s0017.1,Mp3g24070.1
MpPPO31,Mapoly0121s0018.1,Mp3g24060.1
MpPPO32,Mapoly0121s0019.1,Mp3g24050.1
MpPPO33,Mapoly0121s0020.1,Mp3g24040.1
MpPPO34,Mapoly0134s0001.1,Mp5g19430.1
MpPPO35,Mapoly0134s0050.1,-
MpPPO36,Mapoly0145s0006.1,Mp6g17800.1
MpPPO37,Mapoly0145s0008.1,Mp6g17780.1
MpPPO38,Mapoly0145s0009.1,Mp6g17770.1
MpPPO39,Mapoly0145s0011.1,Mp6g17750.1
MpPPO40,Mapoly0145s0012.1,Mp6g17740.1
MpPPO41,Mapoly0149s0028.1,Mp3g20620.1
MpPPO42,Mapoly0206s0001.1,Mp5g19980.1
MpPPO43,Mapoly0212s0001.1,Mp3g03250.1
MpPPO44,Mapoly0212s0002.1,Mp3g03240.1
MpPPO45,Mapoly0220s0002.1,Mp5g21450.2
MpPPO46,Mapoly0237s0003.1,-
MpPPO47,Mapoly0237s0004.1,Mp6g17880.1
MpPPO48,Mapoly0237s0005.1,Mp6g17890.1
MpPPO49,Mapoly0244s0001.1,Mp3g03310.1
MpPPO50,Mapoly0244s0002.1,Mp3g03330.1
MpPPO51,Mapoly0244s0003.1,Mp3g03340.1
MpPPO52,Mapoly0248s0003.1,Mp6g02130.1
MpPPO53,Mapoly0266s0001.1,Mp5g20020.1
MpPPO54,Mapoly0266s0004.1,Mp5g19990.1
MpPPO55,Mapoly0391s0001.1,Mp6g17910.1
MpPPO56,Mapoly0595s0001.1,Mp6g19020.1
MpPPO57,Mapoly0654s0001.1,-
MpPPO58,Mapoly0967s0001.1,Mp6g17860.1
MpPPO59,Mapoly0994s0001.1,Mp6g17940.1
MpPPO60,Mapoly2340s0001.1,-
MpPPO61,Mapoly2776s0001.1,Mp3g03280.1
MpPPO62,Mapoly3313s0001.1,Mp5g21460.1
MpPPO63,Mapoly3320s0001.1,Mp5g19820.1
MpPPO64,MapolyY_B0028.1,MpVg00230.1
