name,ver3.1,ver5
MpMYB02,Mapoly0006s0226.1,Mp3g07510.1
MpMYB14,Mapoly0073s0038.1,Mp5g19050.1
PAL,Mapoly0005s0086.1,Mp1g05220.1
PAL,Mapoly0005s0089.1,Mp1g05190.1
PAL,Mapoly0009s0173.1,Mp7g14880.1
PAL,Mapoly0014s0211.1,Mp1g10150.1
PAL,Mapoly0044s0114.1,Mp4g03590.1
PAL,Mapoly0070s0061.1,Mp4g14210.1
PAL,Mapoly0070s0065.1,Mp4g14170.1
PAL,Mapoly0070s0068.1,Mp4g14140.1
PAL,Mapoly0070s0071.1,Mp4g14110.1
PAL,Mapoly0132s0049.1,Mp4g10060.1
C4H,Mapoly0081s0008.1,Mp8g05070.1
C4H,Mapoly0081s0009.1,Mp8g05080.1
C4H,Mapoly0163s0018.1,Mp6g00020.1
4CL,Mapoly0002s0100.1,Mp1g27780.1
4CL,Mapoly0005s0102.1,Mp1g05060.1
4CL,Mapoly0197s0014.1,Mp5g01200.1
CHS/PKS,Mapoly0009s0174.1,Mp7g14890.1
CHS/PKS,Mapoly0009s0178.1,Mp7g14930.1
CHS/PKS,Mapoly0009s0179.1,Mp7g14940.1
CHS/PKS,Mapoly0009s0180.1,Mp7g14960.1
CHS/PKS,Mapoly0014s0122.1,Mp1g11030.1
CHS/PKS,Mapoly0020s0082.1,Mp4g23190.1
CHS/PKS,Mapoly0021s0159.1,Mp2g07060.1
CHS/PKS,Mapoly0040s0121.1,Mp2g20910.1
CHS/PKS,Mapoly0041s0118.1,Mp4g18370.1
CHS/PKS,Mapoly0044s0115.1,Mp4g03580.1
CHS/PKS,Mapoly0055s0104.1,Mp2g19480.1
CHS/PKS,Mapoly0070s0036.1,Mp4g14450.1
CHS/PKS,Mapoly0070s0060.1,Mp4g14220.1
CHS/PKS,Mapoly0070s0062.1,Mp4g14200.1
CHS/PKS,Mapoly0070s0063.1,Mp4g14190.1
CHS/PKS,Mapoly0070s0064.1,Mp4g14180.1
CHS/PKS,Mapoly0070s0067.1,Mp4g14150.1
CHS/PKS,Mapoly0070s0070.1,Mp4g14120.1
CHS/PKS,Mapoly0070s0072.1,Mp4g14100.1
CHS/PKS,Mapoly0072s0054.1,Mp2g22780.1
CHS/PKS,Mapoly0072s0061.1,Mp2g22700.1
CHS/PKS,Mapoly0072s0062.1,Mp2g22690.1
CHS/PKS,Mapoly0087s0058.1,Mp4g05310.1
CHS/PKS,Mapoly0858s0001.1,Mp8g18680.1
CHI,Mapoly0167s0012.1,Mp6g05290.1
CHI-L,Mapoly0175s0004.1,Mp5g01410.1
FNS,Mapoly0002s0224.1,Mp1g26540.1
DOXC,Mapoly0180s0025.1,Mp2g01670.1
